번호,정답,답지수,난이도,변별도,반응도,1번표기,,,,2번표기,,,,3번표기,,,,4번표기,,,,5번표기,,,,무표기,,,,중복표기,,,,합계,,
,,,,,,상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원,(%),상위,하위,인원
1,1,5,68.5,0.31,0.75,30,17,92,74.8%,1,7,15,12.2%,0,6,6,4.88%,2,1,6,4.88%,2,0,4,3.25%,0,0,0,0%,0,0,0,0%,35,31,123
2,4,5,0,0.14,0.11,2,1,5,4.07%,4,5,17,13.82%,9,0,16,13.01%,7,2,14,11.38%,13,23,70,56.91%,0,0,1,0.81%,0,0,0,0%,35,31,123
3,3,5,10.57,0.17,0.28,5,0,5,4.07%,11,9,33,26.83%,14,7,35,28.46%,1,3,7,5.69%,4,12,43,34.96%,0,0,0,0%,0,0,0,0%,35,31,123
4,2,5,14.63,0.24,0.32,16,11,48,39.02%,14,5,39,31.71%,1,9,18,14.63%,1,3,9,7.32%,3,3,9,7.32%,0,0,0,0%,0,0,0,0%,35,31,123
5,5,5,32.93,0.45,0.46,6,11,29,23.58%,1,1,8,6.5%,1,6,15,12.2%,1,4,14,11.38%,26,9,57,46.34%,0,0,0,0%,0,0,0,0%,35,31,123
6,5,5,23.16,0,0.38,3,5,15,12.2%,10,2,17,13.82%,7,6,19,15.45%,5,9,24,19.51%,10,9,47,38.21%,0,0,1,0.81%,0,0,0,0%,35,31,123
7,3,5,50.2,0.38,0.6,0,2,2,1.63%,2,7,25,20.33%,28,13,74,60.16%,1,2,6,4.88%,4,7,16,13.01%,0,0,0,0%,0,0,0,0%,35,31,123
8,4,5,27.85,0.59,0.42,1,1,2,1.63%,5,12,29,23.58%,2,9,26,21.14%,25,4,52,42.28%,2,5,14,11.38%,0,0,0,0%,0,0,0,0%,35,31,123
9,2,5,54.27,0.17,0.63,2,2,6,4.88%,24,16,78,63.41%,9,8,31,25.2%,0,5,7,5.69%,0,0,1,0.81%,0,0,0,0%,0,0,0,0%,35,31,123
10,1,5,40.04,0.42,0.52,25,9,64,52.03%,0,1,1,0.81%,10,10,37,30.08%,0,5,14,11.38%,0,6,7,5.69%,0,0,0,0%,0,0,0,0%,35,31,123
11,2,5,57.32,0.16,0.66,6,5,18,14.63%,26,18,81,65.85%,3,7,19,15.45%,0,0,1,0.81%,0,1,4,3.25%,0,0,0,0%,0,0,0,0%,35,31,123
12,3,5,7.52,0.3,0.26,16,24,77,62.6%,1,0,3,2.44%,15,4,32,26.02%,0,0,1,0.81%,3,3,10,8.13%,0,0,0,0%,0,0,0,0%,35,31,123
13,2,5,63.41,0.1,0.71,0,4,6,4.88%,25,19,87,70.73%,9,6,26,21.14%,1,2,4,3.25%,0,0,0,0%,0,0,0,0%,0,0,0,0%,35,31,123
14,1,5,5.49,0.42,0.24,17,2,30,24.39%,2,3,9,7.32%,2,1,5,4.07%,2,15,40,32.52%,12,10,39,31.71%,0,0,0,0%,0,0,0,0%,35,31,123
15,5,5,42.07,0.21,0.54,4,1,9,7.32%,0,0,0,0%,10,18,45,36.59%,0,0,3,2.44%,21,12,66,53.66%,0,0,0,0%,0,0,0,0%,35,31,123
16,4,5,78.66,0.39,0.83,0,2,2,1.63%,0,2,2,1.63%,0,5,5,4.07%,33,17,102,82.93%,2,5,12,9.76%,0,0,0,0%,0,0,0,0%,35,31,123
17,5,5,0.61,0.46,0.2,8,5,27,21.95%,9,15,46,37.4%,1,2,4,3.25%,1,9,20,16.26%,16,0,25,20.33%,0,0,1,0.81%,0,0,0,0%,35,31,123
